Index,Question,Ans,a,b,c,d
1,भारत को स्वतंत्रता कब मिली?,b,15 अगस्त 1946,15 अगस्त 1947,26 जनवरी 1947,15 अगस्त 1948
2,महात्मा गांधी ने 'दांडी मार्च' कब किया?,a,1930,1920,1940,1925
3,'जय हिंद' का नारा किसने दिया?,c,महात्मा गांधी,जवाहरलाल नेहरू,सुभाष चंद्र बोस,भगत सिंह
4,सिंधु घाटी सभ्यता कितने वर्ष पुरानी मानी जाती है?,b,2000-3000 वर्ष,5000-7000 वर्ष,3000-4000 वर्ष,10000 वर्ष
5,प्रथम विश्व युद्ध कब हुआ?,a,1914-1918,1939-1945,1900-1905,1920-1924
6,अकबर का पूरा नाम क्या था?,c,जलालुद्दीन बाबर,नूरुद्दीन जहाँगीर,जलालुद्दीन मुहम्मद अकबर,शहाबुद्दीन औरंगजेब
7,ताजमहल का निर्माण किसने करवाया?,b,अकबर,शाहजहाँ,औरंगजेब,हुमायूं
8,भारतीय राष्ट्रीय कांग्रेस की स्थापना कब हुई?,a,1885,1905,1915,1920
9,पानीपत की पहली लड़ाई कब हुई?,c,1556,1575,1526,1500
10,'इंकलाब जिंदाबाद' का नारा किसने दिया?,b,सुभाष चंद्र बोस,भगत सिंह,चंद्रशेखर आजाद,बाल गंगाधर तिलक
11,द्वितीय विश्व युद्ध में परमाणु बम किस देश ने गिराया?,a,अमेरिका,रूस,ब्रिटेन,जर्मनी
12,गौतम बुद्ध का जन्म कहाँ हुआ था?,d,बोधगया,सारनाथ,कुशीनगर,लुम्बिनी (नेपाल)
13,मौर्य साम्राज्य के संस्थापक कौन थे?,a,चंद्रगुप्त मौर्य,अशोक,बिंदुसार,समुद्रगुप्त
14,1857 की क्रांति की शुरुआत कहाँ से हुई?,b,दिल्ली,मेरठ,कानपुर,झाँसी
15,भारत के आखिरी वायसराय कौन थे?,c,लॉर्ड कर्जन,लॉर्ड वेलेजली,लॉर्ड माउंटबेटन,लॉर्ड डलहौजी
16,बक्सर का युद्ध कब हुआ?,b,1757,1764,1775,1780
17,'वंदे मातरम' गीत किसने लिखा?,a,बंकिम चंद्र चटर्जी,रबींद्रनाथ टैगोर,महात्मा गांधी,लाला लाजपत राय
18,सिकंदर ने भारत पर कब आक्रमण किया?,c,300 BC,320 BC,326 BC,350 BC
19,भारत का विभाजन किस योजना के तहत हुआ?,b,कैबिनेट मिशन योजना,माउंटबेटन योजना,क्रिप्स मिशन,वेवेल योजना
20,'सत्यमेव जयते' कहाँ से लिया गया है?,a,मुंडकोपनिषद,ऋग्वेद,महाभारत,रामायण
21,खिलजी वंश का संस्थापक कौन था?,c,बलबन,इल्तुतमिश,जलालुद्दीन खिलजी,अलाउद्दीन खिलजी
22,अंग्रेजों ने बंगाल का विभाजन किस वर्ष किया?,b,1901,1905,1910,1915
23,रौलेट एक्ट कब पास हुआ?,a,1919,1915,1921,1917
24,हड़प्पा सभ्यता की खोज किसने की?,d,आर डी बनर्जी,जॉन मार्शल,अर्नेस्ट मैके,दयाराम साहनी
25,भारत में पहली रेल कब चली?,b,1850,1853,1856,1860
